video_id,total_score,core_strength,core_weakness,key_suggestion,D001-I001_score,D001-I001_score_basis,D001-I001_reason,D001-I002_score,D001-I002_score_basis,D001-I002_reason,D002-I001_score,D002-I001_score_basis,D002-I001_reason,D002-I002_score,D002-I002_score_basis,D002-I002_reason,D003-I001_score,D003-I001_score_basis,D003-I001_reason,D003-I002_score,D003-I002_score_basis,D003-I002_reason,D004-I001_score,D004-I001_score_basis,D004-I001_reason,D004-I002_score,D004-I002_score_basis,D004-I002_reason,D005-I001_score,D005-I001_score_basis,D005-I001_reason,tos_key
7568274748870983689,4.2,演员表现力佳，开篇痛点精准，叙事逻辑通顺。,缺乏产品演示、差异化对比及转化引导。,补充产品效果演示，增加对比及明确转化引导。,5,【优秀】画面清晰且有重点，开篇即展示核心产品或场景，文案有一定吸引力。,开篇直击电视闲置痛点，文案有吸引力，画面清晰。,4,【普通】人设大众化，场景较为通用（如普通居家背景），无功无过。,大众化人设，通用居家场景，目标受众可识别。,5,【完整】具备基本的'痛点+产品+卖点'结构，逻辑通顺，用户能理解。,有闲置电视痛点、产品及核心卖点，逻辑通顺。,5,【流畅】整体节奏舒适，偶有小停顿但不影响大局，信息量适中。,节奏明快，信息释放合理，观看流畅无拖沓。,4,【通用】场景较为常规（如简单的桌面展示），无明显生活气息，代入感一般。,通用居家场景，仅口播痛点无还原，代入感一般。,4,【陈述】罗列了卖点，但缺乏对比，用户需自行脑补优势。,仅口头罗列产品卖点，无对比及可视化演示。,6,【自然专业】演员状态松弛，口播清晰流畅，语气有起伏，专业度高。,演员状态松弛自然，口播清晰流畅有感染力。,5,【清晰】画质达标，光线正常，声音清晰，无明显制作瑕疵。,画质清晰，光线充足，收音清楚，无制作瑕疵。,2,【缺失】无明确购买指引，或未提及价格/购买渠道，导致流量浪费。,当前片段无任何购买引导及转化相关内容。,video_15s/7568274748870983689_11月2日-K7-CM-混剪- (1)已发.mp4_15s.mp4
7569598932432502825,4.5,开篇钩子精准，节奏明快，演员表现力好,未展示产品差异化卖点，无转化引导,补充产品效果演示，增加明确转化引导,5,【优秀】画面清晰且有重点，开篇即展示核心产品或场景，文案有一定吸引力。,开篇抛出价格疑问钩子，别墅区场景清晰有重点,5,【清晰】有明确的身份设定或适用场景，目标受众能识别出这是给他们看的内容。,瞄准别墅影音需求用户，身份场景定位清晰,5,【完整】具备基本的'痛点+产品+卖点'结构，逻辑通顺，用户能理解。,抛出价格痛点引出产品，逻辑通顺易懂,6,【紧凑】节奏明快，无无效镜头，信息密度高但易于消化，观看体验顺畅。,节奏明快无冗余，信息释放顺畅体验好,5,【恰当】有具体的使用场景，且场景与产品功能匹配，有助于理解。,别墅区场景真实，与家庭影音产品适配性高,4,【陈述】罗列了卖点，但缺乏对比，用户需自行脑补优势。,仅提及价格优势，无对比卖点需用户脑补,6,【自然专业】演员状态松弛，口播清晰流畅，语气有起伏，专业度高。,演员状态松弛自然，口播清晰专业有感染力,5,【清晰】画质达标，光线正常，声音清晰，无明显制作瑕疵。,画质清晰光线正常，无明显制作硬伤,2,【缺失】无明确购买指引，或未提及价格/购买渠道，导致流量浪费。,暂未出现购买引导及转化相关信息,video_15s/7569598932432502825_11月6日-K7-MY- (4)混剪.mp4_15s.mp4
7569598921535143942,4.2,开篇钩子明确，节奏紧凑，演员表现力佳。,逻辑未闭环，无卖点展示及转化引导。,补充产品效果演示、差异化卖点及转化引导。,5,【优秀】画面清晰且有重点，开篇即展示核心产品或场景，文案有一定吸引力。,开篇抛出价格疑问，吸引对家庭音响感兴趣的用户。,5,【清晰】有明确的身份设定或适用场景，目标受众能识别出这是给他们看的内容。,别墅区场景+销售人设，指向有影音需求的高端业主。,3,【松散】痛点不够痛，或产品功能无法完全解决提出的痛点，逻辑有断层。,仅抛出需求和产品，未完成解决方案演示闭环。,6,【紧凑】节奏明快，无无效镜头，信息密度高但易于消化，观看体验顺畅。,15秒内完成钩子、产品引出、行动预告，无冗余。,5,【恰当】有具体的使用场景，且场景与产品功能匹配，有助于理解。,别墅区场景匹配高端家庭音响的使用场景。,3,【同质化】卖点平平，未体现独特性，感觉随处可买。,仅提及产品基础功能，未展示差异化优势。,6,【自然专业】演员状态松弛，口播清晰流畅，语气有起伏，专业度高。,演员状态松弛，口播清晰流畅，专业感较强。,5,【清晰】画质达标，光线正常，声音清晰，无明显制作瑕疵。,画质清晰稳定，声音清楚，无明显制作问题。,2,【缺失】无明确购买指引，或未提及价格/购买渠道，导致流量浪费。,无购买引导、价格及购买渠道相关内容。,video_15s/7569598921535143942_11月5日-K7-MY- (5)混剪.mp4_15s.mp4
7552688222016684071,4.3,开篇直击用户需求，演员表现力自然，信息传递顺畅,缺乏产品使用场景及差异对比，无转化引导,补充使用场景演示，增加差异化对比及转化引导,5,【优秀】画面清晰且有重点，开篇即展示核心产品或场景，文案有一定吸引力。,开篇抛出家庭KTV相关问题，文案有吸引力,5,【清晰】有明确的身份设定或适用场景，目标受众能识别出这是给他们看的内容。,瞄准有家庭KTV需求的受众，定位清晰,5,【完整】具备基本的'痛点+产品+卖点'结构，逻辑通顺，用户能理解。,抛出装KTV痛点，给出一体机方案，逻辑通顺,5,【流畅】整体节奏舒适，偶有小停顿但不影响大局，信息量适中。,节奏明快无冗余镜头，信息传递顺畅,4,【通用】场景较为常规（如简单的桌面展示），无明显生活气息，代入感一般。,仅展示取货场景，无家庭使用场景，代入感弱,4,【陈述】罗列了卖点，但缺乏对比，用户需自行脑补优势。,仅陈述产品功能，无竞品对比，优势不直观,6,【自然专业】演员状态松弛，口播清晰流畅，语气有起伏，专业度高。,演员状态松弛自然，口播清晰有感染力,5,【清晰】画质达标，光线正常，声音清晰，无明显制作瑕疵。,画质高清光线充足，声音清晰，制作合格,2,【缺失】无明确购买指引，或未提及价格/购买渠道，导致流量浪费。,暂无购买指引及促销信息，无转化引导,video_15s/7552688222016684071_9月21日-K7-CM- (4)已发.mp4_15s.mp4
7568644679476002854,4.4,开篇钩子精准，节奏明快，主播表现力佳。,缺乏场景演示、卖点对比及转化引导。,补充产品演示、对比及清晰转化引导话术。,5,【优秀】画面清晰且有重点，开篇即展示核心产品或场景，文案有一定吸引力。,开篇直击电视闲置痛点，画面清晰有一定吸引力。,5,【清晰】有明确的身份设定或适用场景，目标受众能识别出这是给他们看的内容。,居家场景清晰，目标受众可识别对应内容。,5,【完整】具备基本的'痛点+产品+卖点'结构，逻辑通顺，用户能理解。,有闲置电视痛点，对应产品及卖点，逻辑通顺。,6,【紧凑】节奏明快，无无效镜头，信息密度高但易于消化，观看体验顺畅。,节奏明快无冗余，短时间传递核心信息。,4,【通用】场景较为常规（如简单的桌面展示），无明显生活气息，代入感一般。,仅通用居家背景，未还原电视闲置具体场景。,4,【陈述】罗列了卖点，但缺乏对比，用户需自行脑补优势。,仅口播罗列卖点，无对比及可视化展示。,6,【自然专业】演员状态松弛，口播清晰流畅，语气有起伏，专业度高。,主播状态自然松弛，口播清晰有感染力。,5,【清晰】画质达标，光线正常，声音清晰，无明显制作瑕疵。,画质高清光线充足，声音清晰无制作瑕疵。,2,【缺失】无明确购买指引，或未提及价格/购买渠道，导致流量浪费。,无转化相关内容及CTA设计，流量易浪费。,video_15s/7568644679476002854_11月3日-K7-CM-混剪- (1).mp4_15s.mp4
7566797565342269481,4.2,开篇降价钩子+冲突抓力强，演员表现有感染力。,未展示产品卖点与使用场景，无转化引导。,补充产品功能演示、使用场景及明确下单指引。,6,【强吸引】开篇视觉有设计感，钩子利益点巨大（如'买一送一'、'价格减半'），能强力锁定目标人群。,开篇即喊降价一半，搭配员工阻拦冲突，抓力强。,5,【清晰】有明确的身份设定或适用场景，目标受众能识别出这是给他们看的内容。,老板+仓库清仓场景，精准锁定优惠需求用户。,3,【松散】痛点不够痛，或产品功能无法完全解决提出的痛点，逻辑有断层。,仅强调降价，未提用户痛点与产品功能，逻辑断层。,6,【紧凑】节奏明快，无无效镜头，信息密度高但易于消化，观看体验顺畅。,节奏快无冗余，冲突+利益点释放顺畅。,4,【通用】场景较为常规（如简单的桌面展示），无明显生活气息，代入感一般。,仅仓库摆货展示，无产品实际使用场景。,3,【同质化】卖点平平，未体现独特性，感觉随处可买。,未展示产品核心卖点，无竞品差异对比。,6,【自然专业】演员状态松弛，口播清晰流畅，语气有起伏，专业度高。,演员情绪饱满，口播清晰，冲突演绎自然有感染力。,5,【清晰】画质达标，光线正常，声音清晰，无明显制作瑕疵。,画质清晰，声音清楚，无明显制作问题。,2,【缺失】无明确购买指引，或未提及价格/购买渠道，导致流量浪费。,现有片段无明确购买指引，无逼单设计。,video_15s/7566797565342269481_10月29日-K7-MY- (7)混剪.mp4_15s.mp4
7560103549079224330,4.1,开篇钩子清晰，逻辑完整，卖点传递明确,无场景演示，无转化引导，说服力不足,补充使用场景演示，增加明确购买引导话术,5,画面清晰且有重点，开篇即展示核心产品或场景，文案有一定吸引力。,开篇否定传统K歌设备，文案有吸引力，画面清晰,5,有明确的身份设定或适用场景，目标受众能识别出这是给他们看的内容。,门店场景清晰，受众可快速识别内容匹配度,5,具备基本的'痛点+产品+卖点'结构，逻辑通顺，用户能理解。,有痛点抛出、产品展示、卖点介绍，逻辑通顺,5,整体节奏舒适，偶有小停顿但不影响大局，信息量适中。,节奏明快无冗余，信息释放合理，观看流畅,4,场景较为常规（如简单的桌面展示），无明显生活气息，代入感一般。,仅门店展示产品，无实际使用场景，代入感弱,4,罗列了卖点，但缺乏对比，用户需自行脑补优势。,仅口播差异化，无直观对比演示，说服力弱,5,得体，演员表现及格，无明显失误，口播清晰能听懂。,演员状态自然，口播清晰，无明显失误,4,手机直出感强，无特别运镜设计，但能看清产品。,画质清晰，无特殊运镜，手机直出感较强,2,无明确购买指引，或未提及价格/购买渠道，导致流量浪费。,无任何购买引导，未提价格渠道，转化链路缺失,video_15s/7560103549079224330_10月11日-K7-CM-混剪- (3).mp4_15s.mp4
7559000042486005796,4.4,开篇钩子明确，节奏紧凑，演员表现力佳,缺乏场景化演示，无转化引导，转化效率低,补充使用场景对比，增加明确的购买引导话术,6,【强吸引】开篇视觉有设计感，钩子利益点巨大（如'买一送一'、'价格减半'），能强力锁定目标人群。,开篇直击花冤枉钱痛点，锁定有K歌需求的目标用户,4,【普通】人设大众化，场景较为通用（如普通居家背景），无功无过。,人设无明确专业标签，仅为通用推销身份,5,【完整】具备基本的'痛点+产品+卖点'结构，逻辑通顺，用户能理解。,完整呈现痛点、产品及卖点，逻辑通顺易懂,6,【紧凑】节奏明快，无无效镜头，信息密度高但易于消化，观看体验顺畅。,节奏紧凑无冗余，信息输出清晰不拖沓,4,【通用】场景较为常规（如简单的桌面展示），无明显生活气息，代入感一般。,仅展示产品外观安装，无实际使用场景还原,4,【陈述】罗列了卖点，但缺乏对比，用户需自行脑补优势。,仅口述优于旧设备，无直观可视化对比演示,6,【自然专业】演员状态松弛，口播清晰流畅，语气有起伏，专业度高。,演员状态自然松弛，口播清晰流畅有说服力,5,【清晰】画质达标，光线正常，声音清晰，无明显制作瑕疵。,画面清晰音质清楚，无明显制作硬伤,2,【缺失】无明确购买指引，或未提及价格/购买渠道，导致流量浪费。,无购买引导及优惠信息，转化路径完全缺失,video_15s/7559000042486005796_10月8日-K7-CM- (2)已发.mp4_15s.mp4
7568274604407570459,4.3,开篇钩子清晰，卖点明确，逻辑通顺易理解,无实际使用场景，缺少明确转化引导,补充使用场景演示，增加转化引导话术,5,【优秀】画面清晰且有重点，开篇即展示核心产品或场景，文案有一定吸引力。,开篇反问否定传统设备，钩子明确，画面清晰,5,【清晰】有明确的身份设定或适用场景，目标受众能识别出这是给他们看的内容。,数码门店场景，面向有K歌设备需求的受众,5,【完整】具备基本的'痛点+产品+卖点'结构，逻辑通顺，用户能理解。,抛出传统设备痛点，引出新品，介绍卖点逻辑完整,5,【流畅】整体节奏舒适，偶有小停顿但不影响大局，信息量适中。,节奏流畅，信息释放合理，无冗余内容,4,【通用】场景较为常规（如简单的桌面展示），无明显生活气息，代入感一般。,仅门店展示产品，未还原家庭K歌等实际使用场景,5,【清晰】展示了核心卖点，并能简要说明与普通产品的区别。,对比传统设备，说明产品一体多用的核心优势,5,【得体】演员表现及格，无明显失误，口播清晰能听懂。,主播口播清晰，表现自然，无明显失误,5,【清晰】画质达标，光线正常，声音清晰，无明显制作瑕疵。,画质清晰光线充足，音轨清楚，制作达标,2,【缺失】无明确购买指引，或未提及价格/购买渠道，导致流量浪费。,未提及购买路径、优惠，无明确行动号召,video_15s/7568274604407570459_11月2日-K7-CM-混剪- (2)已发.mp4_15s.mp4
7560103525498896393,4.4,开篇钩子明确，节奏流畅，演员表现专业自然,卖点未形成闭环，无转化引导，差异化不突出,补充产品效果演示，突出差异，增加转化引导,5,【优秀】画面清晰且有重点，开篇即展示核心产品或场景，文案有一定吸引力。,开篇抛出设备价格问题，有效吸引目标用户注意力,5,【清晰】有明确的身份设定或适用场景，目标受众能识别出这是给他们看的内容。,别墅区场景，精准触达有高端影音需求的业主,4,【一般】有痛点也有产品，但衔接生硬，或者是单纯的'说明书式'介绍。,抛出价格痛点与产品，尚未完成效果演示闭环,6,【紧凑】节奏明快，无无效镜头，信息密度高但易于消化，观看体验顺畅。,节奏明快无冗余，信息密度适中，观看体验流畅,5,【恰当】有具体的使用场景，且场景与产品功能匹配，有助于理解。,别墅区场景匹配家庭影音设备的使用场景,4,【陈述】罗列了卖点，但缺乏对比，用户需自行脑补优势。,仅提及基础功能，无竞品对比，卖点不够直观,6,【自然专业】演员状态松弛，口播清晰流畅，语气有起伏，专业度高。,演员状态自然，口播清晰，专业感较强,5,【清晰】画质达标，光线正常，声音清晰，无明显制作瑕疵。,画质清晰光线充足，无明显制作瑕疵,2,【缺失】无明确购买指引，或未提及价格/购买渠道，导致流量浪费。,无明确购买引导，未设计转化路径与行动号召,video_15s/7560103525498896393_10月11日-K7-MY- (4)混剪已发.mp4_15s.mp4
