video_id,total_score,core_strength,core_weakness,key_suggestion,D001-I001_score,D001-I001_score_basis,D001-I001_reason,D001-I002_score,D001-I002_score_basis,D001-I002_reason,D001-I003_score,D001-I003_score_basis,D001-I003_reason,D001-I004_score,D001-I004_score_basis,D001-I004_reason,D002-I001_score,D002-I001_score_basis,D002-I001_reason,D002-I002_score,D002-I002_score_basis,D002-I002_reason,D003-I001_score,D003-I001_score_basis,D003-I001_reason,D003-I002_score,D003-I002_score_basis,D003-I002_reason,D004-I001_score,D004-I001_score_basis,D004-I001_reason,D004-I002_score,D004-I002_score_basis,D004-I002_reason,D005-I001_score,D005-I001_score_basis,D005-I001_reason,D005-I002_score,D005-I002_score_basis,D005-I002_reason,D006-I001_score,D006-I001_score_basis,D006-I001_reason,D006-I002_score,D006-I002_score_basis,D006-I002_reason,D007-I001_score,D007-I001_score_basis,D007-I001_reason,D007-I002_score,D007-I002_score_basis,D007-I002_reason,tos_key
7560476177228988435,5.2,开头抓力强，功能演示清晰，性价比卖点突出,剪辑节奏平淡，无互动引导，转场设计薄弱,加快剪辑节奏，增加互动引导，放大价格反差,6,【强】3秒内完成Hook设定，主体明确，冲突感强。,开头直接抛出高端影音设备价格问题，快速抓注意力,6,【强】场景真实，痛点清晰，铺垫合理。,真实上门安装场景，清晰呈现家庭装KTV的痛点,6,【强】解决方案展示清晰，有明显“原来如此”的顿悟感。,展示仅需一根线安装，操作简单超出用户预期,6,【强】指令清晰，有明确引导（点购物车/评论区）。,引导观众点头像进直播间，赠双麦吸引力强,5,【优秀】存在对比，但冲击力一般。,专业功能与小巧低价的反差有一定吸引力,6,【强】明确抛出问题或悬念，用户期待后文解答。,开头抛出价格问题，引导用户等待最终答案,4,【合格】节奏平稳，略显沉闷。,背景音乐平缓，卡点较少，流畅但无刺激感,4,【合格】剪辑较简单，多为硬切。,剪辑以硬切为主，无特殊转场设计，无明显错误,5,【优秀】产品展示合格。,产品外观、功能演示清晰，展示合格,6,【强】有明确优惠信息或赠品策略，性价比高。,点明省10年KTV钱，赠送双麦，突出高性价比,6,【强】关键信息点使用了数字，表达清晰。,价格、功率、使用年限均用数字表达，清晰可信,6,【强】文案有力度，能准确戳中用户焦虑。,戳中KTV消费高、安装麻烦的痛点，用词有力,6,【强】视觉焦点强烈，主体清晰。,首帧别墅区场景+核心提问，主体清晰吸睛,6,【强】核心卖点字幕醒目，排版清晰。,前3秒黄色大字幕抛核心问题，静音也能看懂,2,【较差】无引导。,无任何评论点赞引导，互动性极弱,5,【优秀】有基本的收藏/转发理由。,产品功能实用，适合推荐给有K歌需求的用户,video_full/7560476177228988435_10月12日-K7-MY- (11)混剪.mp4_full.mp4
7552688222016684071,4.8,结构清晰，精准戳中用户想装家庭KTV的需求痛点,缺少明确价格锚点，无互动引导，剪辑较平淡,补充价格对比，增加互动设计，提升剪辑节奏感,6,【强】3秒内完成Hook设定，主体明确，冲突感强。,开头直接抛出家庭KTV安装疑问，吸引目标用户,6,【强】场景真实，痛点清晰，铺垫合理。,点明有电视即可安装，降低用户心理门槛,6,【强】解决方案展示清晰，有明显“原来如此”的顿悟感。,展示产品安装简单，功能远超KTV预期,6,【强】指令清晰，有明确引导（点购物车/评论区）。,引导点击头像，赠送麦克风的福利明确,5,【优秀】存在对比，但冲击力一般。,对比传统KTV高价，突出产品性价比,6,【强】明确抛出问题或悬念，用户期待后文解答。,开头抛出价格、安装疑问，引导用户等待答案,5,【优秀】节奏正常，无明显拖沓。,讲解节奏平稳，BGM适配内容无违和,4,【合格】剪辑较简单，多为硬切。,剪辑简单，以口播和产品展示硬切为主,5,【优秀】产品展示合格。,完整展示产品外观及功能演示，观感合格,3,【偏弱】价格无优势或展示不清。,未明确具体价格，仅模糊表述便宜，锚点弱,4,【合格】文案较平实，数字较少。,仅提到百万曲库，数字使用密度低,6,【强】文案有力度，能准确戳中用户焦虑。,戳中用户想装KTV怕贵怕麻烦的痛点,4,【合格】画面普通，缺乏亮点。,开头画面普通，无强烈视觉反差或冲击力,6,【强】核心卖点字幕醒目，排版清晰。,前3秒超大黄色字幕抛出核心疑问，醒目清晰,2,【较差】无引导。,未设计任何引导用户评论、点赞的互动钩子,5,【优秀】有基本的收藏/转发理由。,产品实用，有K歌看电影需求的用户会收藏,video_full/7552688222016684071_9月21日-K7-CM- (4)已发.mp4_full.mp4
7560103525498896393,5.4,卖点清晰，痛点精准，价格优势突出，转化引导明确,完全缺失互动设计，无评论转发引导，社交属性弱,增加互动引导，如“想要的打想要”提升互动率,6,【强】3秒内完成Hook设定，主体明确，冲突感强。,0秒抛出功能+价格疑问，快速抓取用户注意力,6,【强】场景真实，痛点清晰，铺垫合理。,展示安装过程，解决用户怕安装复杂的痛点,6,【强】解决方案展示清晰，有明显“原来如此”的顿悟感。,展示多合一功能，超出用户对单音响的预期,6,【强】指令清晰，有明确引导（点购物车/评论区）。,多次引导点头像抢购，转化路径清晰明确,6,【强】有明显的视觉或认知反差，吸引力强。,打破高端影音设备昂贵的认知，反差明显,6,【强】明确抛出问题或悬念，用户期待后文解答。,开头抛价格疑问，后续逐步揭晓引导完播,6,【强】节奏紧凑，卡点准确，观看流畅。,BGM适配带货节奏，剪辑卡点准确观感流畅,5,【优秀】常规剪辑，无明显错误。,多场景硬切过渡自然，无明显剪辑错误,6,【强】产品展示清晰，色泽/质感好。,多角度展示外观及使用效果，质感突出,6,【强】有明确优惠信息或赠品策略，性价比高。,突出工厂清仓降价赠双麦，性价比感知强,6,【强】关键信息点使用了数字，表达清晰。,多处用具体数字描述参数，增强可信度,6,【强】文案有力度，能准确戳中用户焦虑。,精准击中K歌观影成本高、安装难的痛点,6,【强】视觉焦点强烈，主体清晰。,首帧大字幕+人物主体，视觉焦点明确,6,【强】核心卖点字幕醒目，排版清晰。,高对比度黄字字幕，静音也能抓核心信息,2,【较差】无引导。,无明确评论互动引导，仅引导购买,2,【较差】无相关内容。,无收藏转发引导，用户分享动力弱,video_full/7560103525498896393_10月11日-K7-MY- (4)混剪已发.mp4_full.mp4
7567908601362235446,4.5,价格锚点清晰，产品功能展示全面，字幕醒目,互动引导缺失，反转悬念不足，缺乏记忆爆点,前3秒强化价格冲击，增加互动引导提升热度,5,【优秀】3秒内进入主题，但冲击力略弱于6分。,3秒内抛出错过促销的利益点，明确但冲击一般,5,【优秀】有基本铺垫，但痛点不够尖锐。,讲清产品功能与清仓背景，铺垫合理但痛点不尖锐,4,【合格】平铺直叙展示产品，无明显反转设计。,常规介绍产品优势，无强烈反转，惊喜感不足,5,【优秀】有常规引导，如“点击下方链接”。,结尾引导进入直播间，路径清晰，属于常规引导,4,【合格】有轻微反差，属于常规表达。,产品价值与低价促销的反差，属于常规带货表达,4,【合格】悬念感较弱。,抛出错过优惠的悬念，属于常规话术，悬念感弱,5,【优秀】节奏正常，无明显拖沓。,背景音乐适配带货场景，节奏正常无拖沓,4,【合格】剪辑较简单，多为硬切。,多为场景硬切，无创意转场，剪辑密度一般,5,【优秀】产品展示合格。,清晰展示产品外观、功能与使用场景，观感合格,6,【强】有明确优惠信息或赠品策略，性价比高。,99元售价加赠两支麦克风，性价比突出，优惠明确,5,【优秀】有数字使用，但密度一般。,用到99元、16年等数字，使用密度适中,5,【优秀】文案通顺，表达清楚。,戳中用户低价买K歌设备的需求，表达通顺,5,【优秀】画面清晰，观感正常。,首帧为仓库清仓场景，主体清晰，观感正常,6,【强】核心卖点字幕醒目，排版清晰。,前3秒黄色大字体字幕，核心信息醒目，静音可懂,2,【较差】无引导。,仅引导进直播间，无任何评论互动相关引导,3,【偏弱】纯娱乐，无留存价值。,仅为促销信息，实用价值弱，转发收藏动力低,video_full/7567908601362235446_11月1日-K7-MY- (6)混剪.mp4_full.mp4
7570718436512120868,5.4,结构清晰，价格锚点强，卖点展示充分,互动引导缺失，剪辑创意不足,增加评论引导，强化CTA紧迫感,5,【优秀】3秒内进入主题，但冲击力略弱于6分。,开头直接提问设备价格，3秒内切入主题,6,【强】场景真实，痛点清晰，铺垫合理。,锚定高端设备高预期，铺垫用户怕贵怕复杂的痛点,6,【强】解决方案展示清晰，有明显“原来如此”的顿悟感。,打破高端设备贵的认知，展示小设备多功能,5,【优秀】有常规引导，如“点击下方链接”。,引导用户点头像了解，属于常规转化引导,6,【强】有明显的视觉或认知反差，吸引力强。,认知反差：别墅高端设备实际价格低功能全,5,【优秀】有基本悬念，但常见。,开头问价格，留悬念引导用户等答案,6,【强】节奏紧凑，卡点准确，观看流畅。,带货节奏明快，BGM适配，剪辑卡点准确,5,【优秀】常规剪辑，无明显错误。,剪辑切换自然，无明显错误，创意一般,5,【优秀】产品展示合格。,产品外观和功能演示清晰，无突出美感,6,【强】有明确优惠信息或赠品策略，性价比高。,锚定高端设备高价预期，报低价凸显性价比,6,【强】关键信息点使用了数字，表达清晰。,关键信息用数字表达，如200元、上百万首曲库,6,【强】文案有力度，能准确戳中用户焦虑。,戳中用户怕设备贵、安装麻烦的痛点,6,【强】视觉焦点强烈，主体清晰。,开头字幕+人物场景清晰，视觉焦点明确,6,【强】核心卖点字幕醒目，排版清晰。,核心问题和卖点用大字幕展示，醒目易读,2,【较差】无引导。,无明确引导用户评论、点赞的内容,5,【优秀】有基本的收藏/转发理由。,家用K歌设备种草，有一定实用参考价值,video_full/7570718436512120868_11月9日K7-MY- (5)混剪.mp4_full.mp4
7559000042486005796,5.3,开头钩子抓眼，卖点清晰，字幕醒目，功能演示直观,未披露价格，无互动引导，价格锚点不足,补充价格对比信息，增加互动引导提升转化,7,【现象级】0-1秒直击核心利益/冲突，无需思考即产生停留欲望。,首帧即打出不要花冤枉钱买旧设备的核心利益点,6,【强】场景真实，痛点清晰，铺垫合理。,点明旧点歌机落后痛点，自然引出新品替代方案,6,【强】解决方案展示清晰，有明显“原来如此”的顿悟感。,展示新品多合一功能，替代多款旧设备的优势清晰,6,【强】指令清晰，有明确引导（点购物车/评论区）。,引导点击头像，告知下单赠麦克风，指令明确,6,【强】有明显的视觉或认知反差，吸引力强。,对比传统旧设备落后与新品优势，认知反差明显,6,【强】明确抛出问题或悬念，用户期待后文解答。,开头告知别买旧设备，引导用户好奇新替代品,5,【优秀】节奏正常，无明显拖沓。,口播节奏平稳，背景音乐适配，无明显卡点问题,5,【优秀】常规剪辑，无明显错误。,多镜头硬切自然，无无效空镜，剪辑合格,6,【强】产品展示清晰，色泽/质感好。,多角度展示一体机外观，功能演示清晰直观,3,【偏弱】价格无优势或展示不清。,未提及产品售价，仅说明下单赠两支麦克风,5,【优秀】有数字使用，但密度一般。,用到2025、4K、8D等数字，使用密度不高,6,【强】文案有力度，能准确戳中用户焦虑。,用“花冤枉钱”“太落后”戳中用户怕买错的痛点,6,【强】视觉焦点强烈，主体清晰。,首帧黄色大字幕+人物主体，视觉焦点明确,6,【强】核心卖点字幕醒目，排版清晰。,全程黄色大字幕，核心信息醒目，静音也能看懂,2,【较差】无引导。,全程未设计任何评论、点赞类互动引导,5,【优秀】有基本的收藏/转发理由。,产品功能实用，对有娱乐需求用户有收藏价值,video_full/7559000042486005796_10月8日-K7-CM- (2)已发.mp4_full.mp4
7568644679476002854,5.4,痛点清晰，功能展示直观，性价比突出，引导明确,无互动引导，视觉冲击力不足，反转设计较弱,增加评论互动钩子，强化开头Hook的冲突感,5,【优秀】3秒内进入主题，但冲击力略弱于6分。,开头直击闲置电视改造需求，利益明确冲突感一般,6,【强】场景真实，痛点清晰，铺垫合理。,明确电视闲置痛点，展示核心功能，铺垫自然,6,【强】解决方案展示清晰，有明显“原来如此”的顿悟感。,展示K歌效果，直观呈现闲置电视改造结果,6,【强】指令清晰，有明确引导（点购物车/评论区）。,引导点头像进直播间，提及赠麦，引导明确,5,【优秀】存在对比，但冲击力一般。,闲置电视变娱乐中心，有对比但冲击力不足,6,【强】明确抛出问题或悬念，用户期待后文解答。,开头抛出“装这个”悬念，引导用户了解产品,6,【强】节奏紧凑，卡点准确，观看流畅。,BGM适配带货节奏，卡点准确，观看流畅,5,【优秀】常规剪辑，无明显错误。,多为硬切转场，剪辑常规无错，镜头合理,6,【强】产品展示清晰，色泽/质感好。,两款产品外观+使用场景展示清晰，质感较好,6,【强】有明确优惠信息或赠品策略，性价比高。,对比千元售价，赠双麦克风，突出高性价比,6,【强】关键信息点使用了数字，表达清晰。,曲库量、功率、价格用数字呈现，清晰可信,6,【强】文案有力度，能准确戳中用户焦虑。,戳中电视闲置、去KTV麻烦的痛点，文案有力,5,【优秀】画面清晰，观感正常。,首帧清晰主体明确，但视觉冲击力一般,6,【强】核心卖点字幕醒目，排版清晰。,前3秒超大黄色字幕抛核心利益点，醒目易读,2,【较差】无引导。,无明确评论互动引导，仅引导进入直播间,5,【优秀】有基本的收藏/转发理由。,家庭娱乐方案有实用价值，有一定转发动力,video_full/7568644679476002854_11月3日-K7-CM-混剪- (1).mp4_full.mp4
7556771272036237375,5.8,结构清晰，性价比突出，功能展示戳中用户需求。,缺乏互动引导，未设计促评论的钩子。,增加互动提问，引导用户评论提升热度。,6,【强】3秒内完成Hook设定，主体明确，冲突感强。,开头3秒抛出价格疑问，直击用户好奇心。,6,【强】场景真实，痛点清晰，铺垫合理。,演示安装、功能，打消用户顾虑建立信任。,6,【强】解决方案展示清晰，有明显“原来如此”的顿悟感。,打破高端设备高价认知，突出高性价比。,6,【强】指令清晰，有明确引导（点购物车/评论区）。,引导用户点头像了解，转化路径清晰。,6,【强】有明显的视觉或认知反差，吸引力强。,高端设备与低价形成认知反差，吸引力足。,6,【强】明确抛出问题或悬念，用户期待后文解答。,开头提问价格，吸引用户看完找答案。,6,【强】节奏紧凑，卡点准确，观看流畅。,节奏明快，解说与画面匹配度高无拖沓。,6,【强】转场自然，镜头变化丰富，服务内容。,场景切换流畅，多视角展示产品功能。,6,【强】产品展示清晰，色泽/质感好。,多角度展示外观效果，质感突出诱人。,6,【强】有明确优惠信息或赠品策略，性价比高。,锚定千元高价，送双麦福利性价比突出。,6,【强】关键信息点使用了数字，表达清晰。,用具体数字说明价格等信息，可信度高。,6,【强】文案有力度，能准确戳中用户焦虑。,直击家庭K歌成本高、安装繁的痛点。,6,【强】视觉焦点强烈，主体清晰。,首帧黄色大字+别墅区场景，视觉焦点突出。,6,【强】核心卖点字幕醒目，排版清晰。,前3秒黄色大字突出核心问题，醒目易懂。,4,【合格】仅有“点赞关注”类引导。,仅引导点头像，无明确评论互动引导。,5,【优秀】有基本的收藏/转发理由。,产品实用性强，用户有转发给家人的动力。,video_full/7556771272036237375_10月2日-K7-CM-混剪- (3).mp4_full.mp4
7568274748870983689,5.3,痛点精准，价格锚点清晰，功能展示充分,缺乏互动引导，剪辑平实，节奏偏平淡,增加互动钩子，优化剪辑节奏提升吸引力,5,【优秀】3秒内进入主题，但冲击力略弱于6分。,3秒内抛出闲置电视痛点及解决方案预告,6,【强】场景真实，痛点清晰，铺垫合理。,4-15秒明确产品功能，戳中家庭娱乐需求痛点,6,【强】解决方案展示清晰，有明显“原来如此”的顿悟感。,展示一根线即实现多娱乐功能，超出用户预期,6,【强】指令清晰，有明确引导（点购物车/评论区）。,引导进直播间，明确优惠活动，转化路径清晰,6,【强】有明显的视觉或认知反差，吸引力强。,闲置电视变娱乐设备的认知反差，吸引力强,5,【优秀】有基本悬念，但常见。,开头隐藏产品信息，引导用户等待揭晓,5,【优秀】节奏正常，无明显拖沓。,BGM适配节奏，卡点基本准确，无拖沓,5,【优秀】常规剪辑，无明显错误。,剪辑以硬切为主，逻辑流畅无明显错误,5,【优秀】产品展示合格。,展示多版本产品外观及使用效果，观感合格,6,【强】有明确优惠信息或赠品策略，性价比高。,原价千元直降送双麦，性价比感知强,6,【强】关键信息点使用了数字，表达清晰。,关键信息用具体数字表达，可信度高,6,【强】文案有力度，能准确戳中用户焦虑。,戳中闲置电视、出门K歌麻烦的痛点,6,【强】视觉焦点强烈，主体清晰。,首帧黄色醒目大字+人物，视觉焦点明确,6,【强】核心卖点字幕醒目，排版清晰。,开头核心信息用黄色大字展示，醒目易读,2,【较差】无引导。,无明确点赞评论类互动引导，互动性弱,5,【优秀】有基本的收藏/转发理由。,实用家庭产品，具备转发给家人的理由,video_full/7568274748870983689_11月2日-K7-CM-混剪- (1)已发.mp4_full.mp4
7568274604407570459,5.5,开篇钩子抓力强，产品功能与价格优势清晰。,互动引导缺失，无转发收藏的触发设计。,增加互动引导，强化内容利他性提升转发意愿。,7,【现象级】0-1秒直击核心利益/冲突，无需思考即产生停留欲望。,开篇否定传统K歌设备，瞬间抓住目标用户注意力。,6,【强】场景真实，痛点清晰，铺垫合理。,点明传统设备痛点，引出新一体机价值，铺垫顺畅。,6,【强】解决方案展示清晰，有明显“原来如此”的顿悟感。,演示设备安装简单功能丰富，解决方案清晰易懂。,6,【强】指令清晰，有明确引导（点购物车/评论区）。,明确引导点击头像了解，附带赠品刺激用户转化。,6,【强】有明显的视觉或认知反差，吸引力强。,对比传统设备落后与新一体机便捷，认知反差明显。,6,【强】明确抛出问题或悬念，用户期待后文解答。,抛出“不用旧设备用什么”悬念，吸引用户继续观看。,6,【强】节奏紧凑，卡点准确，观看流畅。,背景音乐适配带货场景，口播画面卡点准确流畅。,5,【优秀】常规剪辑，无明显错误。,剪辑以硬切为主，无明显失误但创意性不足。,5,【优秀】产品展示合格。,产品外观与功能展示清晰，无特别突出的高光点。,6,【强】有明确优惠信息或赠品策略，性价比高。,通过砍价对比+双麦赠品，凸显产品性价比优势。,6,【强】关键信息点使用了数字，表达清晰。,使用“上百万曲库”“8D混响”等数字，增强可信度。,6,【强】文案有力度，能准确戳中用户焦虑。,直击在家K歌麻烦、成本高的痛点，共情性较强。,6,【强】视觉焦点强烈，主体清晰。,开篇人物主体清晰，高对比度大字报吸引眼球。,7,【现象级】关键词（如“免费”、“倒闭”、“巨省”）以超大动态字体占据屏幕，即使静音也能秒懂。,前3秒超大黄色字幕抛核心观点，静音状态也能秒懂。,3,【偏弱】引导生硬，用户不想互动。,无明确评论互动引导，仅引导点击头像，互动性弱。,3,【偏弱】纯娱乐，无留存价值。,内容为纯产品带货，无私藏转发价值，动力不足。,video_full/7568274604407570459_11月2日-K7-CM-混剪- (2)已发.mp4_full.mp4
